Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,TVC
0C_0h_air_a_b1,10.99812,13.14816,12.68947,11.73403,8.60412,6.093829,6.411751,9.938266,7.786295,6.88413,3.999759,3.473726,2.85062,1.943238,2.095378,3.752098,4.93
0C_0h_air_b_b1,11.48476,13.23468,12.46497,11.43839,8.337607,6.179436,6.495556,9.744242,7.805727,6.782237,3.379958,2.756653,2.200185,1.895702,2.061175,3.052446,4.99
0C_0h_air_c_b1,10.97387,12.78575,12.29369,11.21087,8.257693,5.96104,6.271981,9.622079,7.80311,6.849726,3.8149,3.095931,2.444037,1.853992,2.110096,3.588718,4.85
0C_0h_air_d_b1,10.68437,12.63623,11.85156,10.87365,8.068004,5.933779,6.2067,9.264704,7.6685,6.805393,3.520227,3.004496,2.345848,1.917961,2.132491,3.27983,5.04
0C_120h_air_a_b1,10.95694,12.65235,12.04996,11.0999,8.274035,5.816207,6.140972,9.546363,7.272776,6.368735,3.483053,3.161136,2.576642,1.880023,2.022984,3.192439,5.23
0C_120h_air_b_b1,10.92337,13.22418,12.24551,11.03763,8.29844,5.93186,6.224131,9.415796,7.128318,6.726991,3.324496,2.76743,2.499229,2.150236,2.2202,3.080279,5.11
0C_144h_air_a_b1,11.34046,13.10963,12.42607,11.34665,8.042806,5.788752,6.170667,9.335406,7.360624,6.425677,3.677081,3.160348,2.267445,1.688098,1.935844,3.211041,6.56
0C_144h_air_b_b1,11.95203,13.86115,13.26779,12.05379,8.718442,6.19221,6.590961,10.22678,7.573796,6.497477,4.08832,3.762525,2.883554,1.948519,2.247225,3.999095,6.26
0C_192h_air_a_b1,10.66575,12.12609,11.3626,10.37707,7.816825,5.576053,5.965191,9.261561,7.06231,6.375346,3.885666,3.521021,2.829975,1.907631,2.218177,3.910372,6.16
0C_192h_air_b_b1,11.6251,13.68336,13.17832,12.0351,8.850088,6.097549,6.516548,10.35659,7.390744,6.632513,4.084857,3.893137,3.405166,2.249541,2.474888,4.281894,6.28
