"","VideometerLab","ENOSE","FTIR","Fresh Detect","VideometerLabUV","ML_Means"
"Regression Tree(auto-scale)","0.6568","0.9758","0.9376","0.8645","0.8747","0.8619"
"Regression Tree(range-scale)","0.1791","0.2666","0.2557","0.2356","0.2370","0.2348"
"Regression Tree(mean-center)","1.0944","1.6112","1.5531","1.4382","1.4315","1.4257"
"Random Forest(range-scale)","0.1381","0.2389","0.2418","0.1898","0.1854","0.1988"
"Random Forest(mean-center)","0.8293","1.4487","1.4670","1.1530","1.1218","1.2040"
"Random Forest(auto-scale)","0.5075","0.8799","0.8882","0.6982","0.6870","0.7322"
"Neural Network(range-scale)","0.1967","0.2501","0.3229","0.2171","0.2141","0.2402"
"Neural Network(mean-center)","1.3658","7.3266","3.1637","1.4821","1.2494","2.9175"
"Neural Network(auto-scale)","1.0427","2.5068","1.6701","0.9885","1.0671","1.4550"
"k-nearest neighbors(range-scale)","0.1577","0.2613","0.2440","0.1969","0.2055","0.2131"
"k-nearest neighbors(mean-center)","0.7541","1.7124","1.5838","1.2858","1.1973","1.3067"
"k-nearest neighbors(auto-scale)","0.5818","0.9609","0.8926","0.7220","0.7502","0.7815"
"SVR-Radial(range-scale)","0.0396","0.0626","0.0242","0.0806","0.0446","0.0503"
"SVR-Radial(mean-center)","0.2390","0.3802","0.1462","0.4869","0.2692","0.3043"
"SVR-Radial(auto-scale)","0.1457","0.2292","0.0890","0.2946","0.1645","0.1846"
"SVR-Polynomial(range-scale)","0.1368","0.8904","0.2133","0.5780","0.1723","0.3982"
"SVR-Polynomial(mean-center)","0.8269","5.4317","1.2887","3.4930","1.0409","2.4162"
"SVR-Polynomial(auto-scale)","0.5041","3.2585","0.7848","2.1136","0.6360","1.4594"
"XGBoost(range-scale)","0.0677","0.0666","0.4705","0.0091","0.0930","0.1414"
"XGBoost(mean-center)","0.0870","0.0015","2.3258","0.2160","0.3913","0.6043"
"XGBoost(auto-scale)","0.2937","0.5824","1.3509","0.0686","0.4789","0.5549"
"Partial least squares Regression(range-scale)","0.1478","0.2856","0.2437","0.2329","0.1835","0.2187"
"Partial least squares Regression(mean-center)","0.8929","1.7256","1.4725","1.4072","1.1083","1.3213"
"Partial least squares Regression(auto-scale)","0.5444","1.0451","0.8967","0.8515","0.6772","0.8030"
"PCA Regression(range-scale)","0.1497","0.2712","0.2501","0.2395","0.2435","0.2308"
"PCA Regression(mean-center)","1.1423","1.6167","1.5334","1.4656","1.2628","1.4042"
"PCA Regression(auto-scale)","0.5443","0.9797","0.8975","0.8761","0.9123","0.8420"
"Ordinary Least Squares Regression(range-scale)","0.2230","0.3362","0.2809","0.4078","0.1563","0.2808"
"Ordinary Least Squares Regression(mean-center)","1.3475","2.0315","1.6973","2.4645","0.9441","1.6970"
"Ordinary Least Squares Regression(auto-scale)","0.8215","1.2304","1.0336","1.4912","0.5769","1.0307"
"Stepwise Regression(range-scale)","0.2367","0.3356","0.2665","0.3979","0.1552","0.2784"
"Stepwise Regression(mean-center)","1.4302","2.0278","1.6105","2.4044","0.9375","1.6821"
"Stepwise Regression(auto-scale)","0.8719","1.2281","0.9807","1.4548","0.5729","1.0217"
"Ridge Regression(range-scale)","0.1479","0.3127","0.2375","0.1893","0.1519","0.2079"
"Ridge Regression(mean-center)","0.8939","1.8898","1.4350","1.1437","0.9173","1.2559"
"Ridge Regression(auto-scale)","0.5450","1.1445","0.8739","0.6920","0.5605","0.7632"
"Lasso Regression(range-scale)","0.1472","0.3244","0.2421","0.1858","0.1553","0.2110"
"Lasso Regression(mean-center)","0.8893","1.9604","1.4630","1.1229","0.9380","1.2747"
"Lasso Regression(auto-scale)","0.5422","1.1873","0.8909","0.6795","0.5732","0.7746"
"Elastic Regression(range-scale)","0.1479","0.3245","0.2394","0.1883","0.1541","0.2108"
"Elastic Regression(mean-center)","0.8910","2.0184","1.4499","1.1293","0.9322","1.2842"
"Elastic Regression(auto-scale)","0.5436","1.2100","0.8919","0.6874","0.5688","0.7803"
"Platform_Means","0.5463","1.2578","0.9238","0.8696","0.5998",""
