"","ENOSE","FTIR","Fresh Detect","VideometerLabUV","ML_Means"
"Regression Tree(auto-scale)","  0.0235"," 0.0774"," 0.2412"," 0.2328"," 0.2201"
"Regression Tree(range-scale)","  0.0235"," 0.0711"," 0.2441"," 0.2328"," 0.2186"
"Regression Tree(mean-center)","  0.0235"," 0.0613"," 0.2332"," 0.2328"," 0.2124"
"Random Forest(range-scale)","  0.2192"," 0.1723"," 0.5204"," 0.5344"," 0.4329"
"Random Forest(mean-center)","  0.2147"," 0.1658"," 0.5161"," 0.5332"," 0.4304"
"Random Forest(auto-scale)","  0.2093"," 0.1755"," 0.5147"," 0.5308"," 0.4301"
"Neural Network(range-scale)","  0.1233","-0.4549"," 0.3710"," 0.3758"," 0.1668"
"Neural Network(mean-center)","-23.8420","-2.8982"," 0.1617"," 0.4249","-5.1837"
"Neural Network(auto-scale)"," -6.4993","-2.0119","-0.0055","-0.1328","-1.7610"
"k-nearest neighbors(range-scale)","  0.0691"," 0.1515"," 0.4833"," 0.4234"," 0.3513"
"k-nearest neighbors(mean-center)"," -0.0954"," 0.0285"," 0.3959"," 0.4642"," 0.3119"
"k-nearest neighbors(auto-scale)","  0.0620"," 0.1636"," 0.4812"," 0.4364"," 0.3545"
"SVR-Radial(range-scale)","  0.9304"," 0.9911"," 0.9088"," 0.9728"," 0.9558"
"SVR-Radial(mean-center)","  0.9299"," 0.9911"," 0.9088"," 0.9728"," 0.9557"
"SVR-Radial(auto-scale)","  0.9304"," 0.9911"," 0.9088"," 0.9728"," 0.9558"
"SVR-Polynomial(range-scale)","-29.5822"," 0.3412","-5.8036"," 0.5868","-6.7488"
"SVR-Polynomial(mean-center)","-29.7699"," 0.3412","-5.8036"," 0.5868","-6.7863"
"SVR-Polynomial(auto-scale)","-29.5822"," 0.3412","-5.8036"," 0.5868","-6.7488"
"XGBoost(range-scale)","  0.8377","-0.4742"," 0.9934"," 0.8107"," 0.6155"
"XGBoost(mean-center)","  0.8435","-0.6093"," 0.9937"," 0.7702"," 0.5799"
"XGBoost(auto-scale)","  0.8527","-0.4617"," 0.9932"," 0.7764"," 0.6130"
"Partial least squares Regression(range-scale)"," -0.1198"," 0.1570"," 0.2750"," 0.5346"," 0.3053"
"Partial least squares Regression(mean-center)"," -0.1198"," 0.1570"," 0.2750"," 0.5346"," 0.3053"
"Partial least squares Regression(auto-scale)"," -0.1198"," 0.1570"," 0.2750"," 0.5346"," 0.3053"
"PCA Regression(range-scale)","  0.0006"," 0.1138"," 0.2338"," 0.1953"," 0.2431"
"PCA Regression(mean-center)","  0.0270"," 0.0883"," 0.2138"," 0.4045"," 0.2403"
"PCA Regression(auto-scale)","  0.0263"," 0.1583"," 0.2329"," 0.1720"," 0.2539"
"Ordinary Least Squares Regression(range-scale)"," -0.6879","-0.0972","-1.2662"," 0.6491","-0.2617"
"Ordinary Least Squares Regression(mean-center)"," -0.6879","-0.0972","-1.2662"," 0.6491","-0.2617"
"Ordinary Least Squares Regression(auto-scale)"," -0.6879","-0.0972","-1.2662"," 0.6491","-0.2617"
"Stepwise Regression(range-scale)"," -0.6422"," 0.0134","-1.1780"," 0.6544","-0.2438"
"Stepwise Regression(mean-center)"," -0.6422"," 0.0134","-1.1780"," 0.6544","-0.2438"
"Stepwise Regression(auto-scale)"," -0.6422"," 0.0134","-1.1780"," 0.6544","-0.2438"
"Ridge Regression(range-scale)"," -0.3704"," 0.2233"," 0.5224"," 0.6677"," 0.3455"
"Ridge Regression(mean-center)"," -0.3704"," 0.2233"," 0.5224"," 0.6677"," 0.3455"
"Ridge Regression(auto-scale)"," -0.3704"," 0.2233"," 0.5224"," 0.6677"," 0.3455"
"Lasso Regression(range-scale)"," -0.5077"," 0.1913"," 0.5391"," 0.6535"," 0.3128"
"Lasso Regression(mean-center)"," -0.5077"," 0.1913"," 0.5391"," 0.6535"," 0.3128"
"Lasso Regression(auto-scale)"," -0.5077"," 0.1913"," 0.5391"," 0.6535"," 0.3128"
"Elastic Regression(range-scale)"," -0.5003"," 0.2101"," 0.5264"," 0.6583"," 0.3159"
"Elastic Regression(mean-center)"," -0.6235"," 0.2068"," 0.5346"," 0.6589"," 0.2929"
"Elastic Regression(auto-scale)"," -0.5806"," 0.1896"," 0.5284"," 0.6599"," 0.2967"
"Platform_Means"," -2.8979"," 0.0139","-0.2048"," 0.5608",""
